date,Anual(J-D),Anual(D-N),Summer,Autumn,Winter,Spring
1880,-.18,***,0,-.14,-.17,-.19
1881,-.10,-.11,-.18,.03,-.09,-.19
1882,-.11,-.10,.06,-.10,-.17,-.17
1883,-.19,-.20,-.32,-.16,-.12,-.19
1884,-.29,-.28,-.13,-.38,-.34,-.27
1885,-.31,-.33,-.39,-.36,-.37,-.21
1886,-.32,-.30,-.31,-.31,-.31,-.28
1887,-.34,-.34,-.50,-.34,-.26,-.26
1888,-.17,-.20,-.35,-.28,-.14,-.02
1889,-.10,-.08,.01,.05,-.14,-.25
1890,-.37,-.36,-.39,-.40,-.30,-.37
1891,-.23,-.26,-.40,-.22,-.19,-.23
1892,-.26,-.23,-.15,-.31,-.26,-.22
1893,-.31,-.32,-.57,-.29,-.23,-.17
1894,-.31,-.32,-.40,-.36,-.30,-.23
1895,-.22,-.22,-.35,-.26,-.18,-.10
1896,-.11,-.12,-.18,-.24,-.07,.01
1897,-.12,-.10,-.10,-.07,-.11,-.13
1898,-.28,-.27,-.17,-.38,-.23,-.30
1899,-.18,-.18,-.28,-.26,-.19,.02
1900,-.09,-.11,-.22,-.07,-.11,-.01
1901,-.15,-.13,-.11,-.04,-.16,-.23
1902,-.30,-.29,-.17,-.32,-.32,-.33
1903,-.39,-.38,-.25,-.37,-.44,-.47
1904,-.49,-.51,-.60,-.53,-.51,-.38
1905,-.29,-.30,-.44,-.30,-.27,-.18
1906,-.22,-.22,-.25,-.15,-.22,-.28
1907,-.39,-.37,-.36,-.37,-.38,-.35
1908,-.43,-.43,-.40,-.46,-.42,-.43
1909,-.47,-.46,-.54,-.55,-.42,-.34
1910,-.43,-.42,-.47,-.41,-.35,-.42
1911,-.43,-.47,-.62,-.55,-.43,-.26
1912,-.35,-.34,-.20,-.25,-.41,-.48
1913,-.35,-.38,-.42,-.43,-.39,-.29
1914,-.15,-.15,-.03,-.24,-.22,-.11
1915,-.12,-.11,-.08,-.03,-.17,-.18
1916,-.33,-.27,-.12,-.30,-.35,-.32
1917,-.44,-.45,-.66,-.55,-.30,-.28
1918,-.28,-.31,-.46,-.38,-.32,-.10
1919,-.26,-.25,-.23,-.19,-.32,-.26
1920,-.25,-.25,-.28,-.19,-.30,-.23
1921,-.17,-.20,-.21,-.26,-.21,-.10
1922,-.27,-.27,-.31,-.23,-.29,-.25
1923,-.24,-.26,-.27,-.36,-.28,-.12
1924,-.25,-.22,-.15,-.18,-.27,-.27
1925,-.20,-.25,-.38,-.26,-.25,-.09
1926,-.09,-.06,.12,-.07,-.19,-.08
1927,-.20,-.19,-.24,-.30,-.20,-.04
1928,-.19,-.20,-.13,-.28,-.25,-.14
1929,-.34,-.31,-.41,-.36,-.34,-.15
1930,-.14,-.18,-.36,-.18,-.17,-.01
1931,-.10,-.09,-.13,-.16,-.04,-.05
1932,-.16,-.15,-.04,-.15,-.25,-.16
1933,-.29,-.28,-.31,-.28,-.26,-.26
1934,-.14,-.17,-.25,-.25,-.12,-.07
1935,-.21,-.19,-.08,-.26,-.24,-.19
1936,-.16,-.18,-.29,-.20,-.15,-.06
1937,-.04,-.03,-.05,-.15,-.03,.09
1938,-.03,-.02,-.04,.00,-.11,.05
1939,-.03,-.09,-.13,-.12,-.08,-.02
1940,.11,.13,.17,.14,.08,.12
1941,.18,.19,.27,.13,.15,.19
1942,.05,.06,.16,.09,.00,.01
1943,.07,.06,.05,.01,.01,.16
1944,.21,.22,.28,.22,.18,.22
1945,.09,.09,.03,.10,.09,.16
1946,-.07,-.05,.04,-.01,-.17,-.06
1947,-.04,-.06,-.19,.03,-.05,-.02
1948,-.11,-.10,-.09,-.12,-.09,-.10
1949,-.11,-.11,-.10,-.07,-.16,-.10
1950,-.18,-.18,-.28,-.12,-.10,-.24
1951,-.07,-.09,-.32,-.11,.02,.04
1952,.01,.02,.12,-.03,.01,-.02
1953,.07,.07,.07,.13,.05,.02
1954,-.15,-.13,-.13,-.18,-.17,-.03
1955,-.15,-.14,-.09,-.26,-.08,-.14
1956,-.21,-.23,-.24,-.27,-.18,-.21
1957,.04,.02,-.07,.00,.11,.06
1958,.07,.08,.26,.07,-.02,.01
1959,.03,.03,.06,.12,.02,-.08
1960,-.02,-.04,.05,-.18,-.02,.01
1961,.06,.08,.15,.11,.05,.03
1962,.04,.03,.02,.04,.02,.03
1963,.07,.07,.06,-.08,.13,.17
1964,-.20,-.17,-.07,-.26,-.09,-.27
1965,-.10,-.12,-.18,-.14,-.08,-.09
1966,-.05,-.05,-.08,-.06,.01,-.06
1967,-.02,-.02,-.10,.05,-.02,-.01
1968,-.07,-.07,-.14,.01,-.09,-.03
1969,.07,.04,-.12,.13,.02,.12
1970,.03,.07,.20,.04,-.04,.06
1971,-.09,-.09,-.11,-.10,-.11,-.05
1972,.01,-.01,-.16,.00,.08,.05
1973,.16,.18,.26,.26,.10,.10
1974,-.08,-.08,-.17,-.07,.00,-.09
1975,-.01,-.01,.01,.11,-.07,-.09
1976,-.11,-.13,-.08,-.18,-.13,-.13
1977,.17,.18,.17,.27,.20,.06
1978,.06,.06,.07,.14,-.06,.07
1979,.16,.13,.04,.12,.10,.26
1980,.27,.29,.40,.33,.23,.22
1981,.33,.31,.38,.35,.33,.18
1982,.13,.13,.23,.08,.08,.14
1983,.31,.33,.45,.36,.24,.29
1984,.16,.18,.21,.23,.13,.14
1985,.12,.10,.03,.15,.10,.11
1986,.18,.18,.27,.25,.11,.08
1987,.33,.31,.33,.21,.37,.32
1988,.41,.42,.49,.47,.41,.31
1989,.29,.29,.28,.29,.28,.30
1990,.44,.44,.40,.59,.37,.38
1991,.41,.42,.43,.41,.46,.36
1992,.22,.23,.39,.34,.15,.04
1993,.24,.24,.32,.30,.22,.13
1994,.31,.29,.15,.32,.31,.39
1995,.45,.45,.55,.39,.45,.42
1996,.34,.32,.34,.32,.36,.28
1997,.47,.45,.37,.41,.43,.60
1998,.62,.62,.70,.65,.70,.45
1999,.40,.41,.56,.33,.35,.39
2000,.40,.41,.41,.50,.41,.34
2001,.54,.51,.39,.54,.54,.58
2002,.62,.63,.69,.70,.56,.59
2003,.61,.58,.57,.57,.55,.64
2004,.53,.55,.68,.55,.37,.61
2005,.67,.66,.60,.66,.63,.74
2006,.61,.61,.63,.52,.62,.66
2007,.64,.66,.79,.69,.58,.57
2008,.51,.51,.34,.57,.49,.63
2009,.63,.62,.55,.58,.67,.69
2010,.70,.71,.73,.83,.61,.68
2011,.58,.57,.48,.58,.66,.57
2012,.62,.62,.48,.66,.59,.74
2013,.65,.63,.58,.59,.63,.74
2014,.73,.72,.64,.79,.68,.78
2015,.87,.84,.82,.80,.76,.97
2016,.99,1.01,1.20,1.10,.86,.89
2017,.90,.89,.97,.98,.80,.83
2018,***,***,.82,.87,.77,0
